# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_baseline_model
# start_datetime = 2025-04-28 19:09:43 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/86/3gll7lw97bd1x0htrdm3wgfw0000gn/T/tmp5ckvn70_/mu80ke9f.json
# init = 2 (Default)
# random
#   seed = 35095
# output
#   file = /var/folders/86/3gll7lw97bd1x0htrdm3wgfw0000gn/T/tmp5ckvn70_/model_baseline_a2km8w8/model_baseline-20250428150942_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=model_baseline.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_motif,mu_0,sigma_0,mu_1,sigma_1
# Adaptation terminated
# Step size = 0.0773117
# Diagonal elements of inverse mass matrix:
# 1.12588, 0.0518961, 0.000659501, 0.00242313, 0.557613, 0.000274715
-7226.22,0.998356,0.0773117,5,31,0,7229.35,-8.66663,2.20054,0.369115,0.406774,41.0576,32.6116
-7226.61,0.964375,0.0773117,6,63,0,7228.41,-8.51506,2.14713,0.342827,0.372486,40.2147,33.0335
-7230.22,0.998843,0.0773117,6,63,0,7233.72,-6.44812,1.71958,0.347162,0.423145,41.2558,31.2006
-7229.14,0.990032,0.0773117,5,63,0,7235.7,-8.30085,2.11497,0.343924,0.435287,40.2964,31.2587
-7227.26,0.991084,0.0773117,5,31,0,7230.29,-8.11753,2.08178,0.32804,0.427947,40.629,31.5662
-7227.79,0.999853,0.0773117,6,63,0,7230.09,-7.78857,2.00304,0.384727,0.403358,40.4576,31.6721
-7225.89,0.906905,0.0773117,6,63,0,7229.48,-9.20598,2.2983,0.313145,0.409934,41.4012,32.5684
-7225.24,0.998282,0.0773117,5,63,0,7227.65,-8.15027,2.08193,0.321047,0.393718,40.0111,32.3375
-7225.02,0.949051,0.0773117,5,63,0,7228.78,-8.79234,2.22489,0.331011,0.37793,41.0103,32.1591
-7224.9,0.938632,0.0773117,6,63,0,7226.55,-8.05476,2.05525,0.328551,0.404883,40.5969,32.3584
-7226.93,0.940935,0.0773117,5,31,0,7227.54,-8.3268,2.11275,0.342548,0.417478,41.016,33.2169
-7228.31,0.995291,0.0773117,6,63,0,7230.27,-8.6361,2.17684,0.3626,0.378857,40.7121,31.097
-7227.28,0.966509,0.0773117,6,63,0,7231.16,-7.87598,2.00495,0.339529,0.412689,42.025,32.904
-7225.8,0.98461,0.0773117,5,31,0,7228.59,-7.49349,1.95204,0.307586,0.390233,40.7827,32.7178
-7229.14,0.622535,0.0773117,2,3,0,7230.6,-7.62858,1.90508,0.308803,0.387786,40.8038,32.6987
-7226.28,0.797057,0.0773117,4,31,0,7232.24,-8.05166,2.03259,0.342747,0.379828,41.7712,32.3872
-7226.86,0.822314,0.0773117,5,63,0,7232.59,-8.30148,2.12413,0.350877,0.381879,42.0987,31.8804
-7227.75,0.845229,0.0773117,6,63,0,7230.93,-9.45376,2.34464,0.314052,0.39495,42.4991,32.3337
-7226.13,0.957236,0.0773117,5,63,0,7233.98,-8.0617,2.08235,0.325544,0.384631,41.1976,31.5863
-7226.73,0.867124,0.0773117,6,63,0,7228.93,-9.09967,2.26208,0.335566,0.380106,40.2673,33.093
-7226.18,0.999787,0.0773117,5,63,0,7228.03,-8.51839,2.17472,0.337574,0.407407,41.0603,33.0705
