# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_baseline_model
# start_datetime = 2025-04-28 19:09:43 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/86/3gll7lw97bd1x0htrdm3wgfw0000gn/T/tmp5ckvn70_/mu80ke9f.json
# init = 2 (Default)
# random
#   seed = 35095
# output
#   file = /var/folders/86/3gll7lw97bd1x0htrdm3wgfw0000gn/T/tmp5ckvn70_/model_baseline_a2km8w8/model_baseline-20250428150942_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=model_baseline.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_motif,mu_0,sigma_0,mu_1,sigma_1
# Adaptation terminated
# Step size = 0.0707707
# Diagonal elements of inverse mass matrix:
# 1.1297, 0.0524336, 0.000674871, 0.00260584, 0.604269, 0.00032491
-7232.01,0.992403,0.0707707,5,31,0,7233.97,-8.43271,2.2102,0.329613,0.423511,39.6101,33.025
-7229.97,0.992945,0.0707707,5,63,0,7234.85,-8.92125,2.27004,0.351667,0.408222,40.2313,33.8487
-7227.3,1,0.0707707,5,31,0,7231.15,-9.70824,2.42726,0.342032,0.407225,40.9952,33.2475
-7226.93,0.911863,0.0707707,6,63,0,7230.43,-7.65323,1.94014,0.31951,0.402795,41.299,31.6417
-7227.17,0.859549,0.0707707,5,63,0,7231.12,-8.86437,2.19993,0.336323,0.413348,40.5904,33.0306
-7232.01,0.691695,0.0707707,5,63,0,7234.73,-8.21795,2.16964,0.313065,0.354549,40.887,32.3814
-7228.69,0.98449,0.0707707,5,39,0,7233.43,-7.41377,1.87119,0.355692,0.412686,40.7115,32.6925
-7227.24,0.712029,0.0707707,2,7,0,7232.2,-7.24523,1.91444,0.356042,0.412711,40.7745,32.6705
-7225.73,0.999592,0.0707707,6,63,0,7228.21,-7.47798,1.93675,0.346583,0.376976,41.0836,32.0116
-7225.24,0.924365,0.0707707,5,63,0,7228.29,-7.66014,1.9636,0.320182,0.381155,40.7892,32.5016
-7225.94,0.997647,0.0707707,5,63,0,7227.42,-8.4647,2.1519,0.326924,0.367152,40.3933,32.6253
-7225.81,0.992228,0.0707707,6,63,0,7227.44,-9.61719,2.39196,0.314402,0.382217,40.2816,32.1823
-7226.3,0.901837,0.0707707,6,63,0,7227.84,-7.71273,1.95617,0.352329,0.398981,41.4611,32.2426
-7225.64,0.915021,0.0707707,5,63,0,7230.51,-9.39335,2.35118,0.326025,0.374905,40.7709,32.627
-7226.42,0.876055,0.0707707,6,63,0,7227.26,-7.36208,1.88457,0.33913,0.411498,40.9062,31.9759
-7226.77,0.998976,0.0707707,5,31,0,7228.12,-7.51612,1.94832,0.312908,0.419341,41.2984,31.765
-7226.84,0.889944,0.0707707,6,63,0,7229.34,-7.70455,1.96544,0.313603,0.408435,40.0529,32.9517
-7232.41,0.938938,0.0707707,5,31,0,7233.52,-7.88227,2.05162,0.386712,0.391293,41.5244,30.794
-7227.33,0.947422,0.0707707,5,31,0,7236.04,-8.69611,2.19383,0.387087,0.410175,40.648,32.5137
-7228.16,0.998882,0.0707707,5,31,0,7230.36,-8.39257,2.13465,0.369244,0.429685,41.3,31.6506
-7227.38,0.775257,0.0707707,5,31,0,7231.21,-8.44973,2.16121,0.359249,0.416438,41.3818,31.5529
-7230.34,0.656181,0.0707707,6,63,0,7233.36,-8.91579,2.18106,0.301521,0.377548,40.3311,33.0369
-7234.05,0.999809,0.0707707,5,31,0,7237.31,-8.98541,2.30241,0.304974,0.441127,38.787,31.6101
-7232.29,0.996672,0.0707707,5,31,0,7234.6,-8.83402,2.27066,0.308941,0.440449,39.1189,31.8265
-7229.44,0.954147,0.0707707,3,15,0,7235.83,-8.93135,2.29997,0.309659,0.423307,39.8231,32.0432
-7229.97,0.937777,0.0707707,6,63,0,7233.61,-7.29898,1.8407,0.314049,0.401602,42.0484,31.9109
-7229.94,0.810475,0.0707707,3,15,0,7234.67,-7.45028,1.86192,0.317306,0.396677,41.4111,31.9569
-7227.04,0.974713,0.0707707,6,63,0,7230.94,-7.87024,2.05678,0.299591,0.40774,40.9073,32.5926
-7226.4,0.990804,0.0707707,6,63,0,7228.34,-7.43927,1.94142,0.29766,0.402345,40.9114,32.7361
-7226.29,0.999576,0.0707707,6,63,0,7229.26,-9.02883,2.25285,0.331094,0.401976,40.8951,31.4598
-7225.96,0.960848,0.0707707,6,63,0,7228.47,-8.0545,2.05286,0.330333,0.378164,40.9549,31.53
-7226.12,0.999106,0.0707707,6,63,0,7228.68,-8.52369,2.15777,0.338463,0.409504,40.7872,33.1148
-7225.94,0.894527,0.0707707,6,63,0,7228.94,-8.2635,2.09475,0.295299,0.386904,40.1666,32.319
-7225.22,0.997213,0.0707707,5,63,0,7227.26,-7.77482,1.99156,0.347639,0.382124,40.9617,32.1569
-7226.71,0.948659,0.0707707,5,63,0,7227.62,-7.06302,1.83891,0.296224,0.409993,41.0023,32.3946
-7226,1,0.0707707,6,63,0,7227.32,-9.50846,2.37962,0.357859,0.380086,40.6272,32.3984
-7226.1,0.901616,0.0707707,5,31,0,7227.16,-9.28619,2.33588,0.360968,0.382217,40.3954,32.4437
-7226.11,0.962867,0.0707707,5,63,0,7229.14,-8.10418,2.04499,0.306011,0.386887,41.5982,32.1193
-7227.17,0.752335,0.0707707,5,31,0,7230.77,-7.79032,2.00955,0.296266,0.416432,41.2642,31.6473
-7226.3,0.994516,0.0707707,6,63,0,7229.15,-8.28254,2.09618,0.303219,0.416166,41.5348,32.2089
-7225.95,0.783643,0.0707707,6,63,0,7230.03,-9.88901,2.45486,0.326567,0.384572,40.4038,31.9507
-7227.18,0.99776,0.0707707,6,63,0,7227.87,-7.0565,1.83905,0.312172,0.36498,41.047,32.6444
-7225.7,0.920055,0.0707707,6,63,0,7228.72,-8.02793,2.03784,0.327486,0.397832,40.3596,31.6895
-7226.99,0.995158,0.0707707,5,63,0,7228.65,-8.29733,2.10585,0.343926,0.359558,41.489,32.5668
-7225.48,0.999933,0.0707707,6,63,0,7228.13,-7.33837,1.90697,0.342354,0.389578,40.3082,32.2861
-7225.47,0.89545,0.0707707,6,63,0,7227.03,-9.16661,2.28179,0.314235,0.395285,41.3792,32.37
-7225.13,0.99991,0.0707707,6,63,0,7226.86,-7.55209,1.94721,0.340604,0.395273,40.5105,32.1767
-7227.72,0.959394,0.0707707,6,63,0,7229.69,-9.37591,2.34319,0.328021,0.356757,41.4928,32.7124
-7225.4,0.998643,0.0707707,5,63,0,7230.63,-9.1529,2.29438,0.322094,0.412144,40.6889,32.3824
-7225.99,0.859619,0.0707707,6,63,0,7227.94,-8.52521,2.15655,0.320645,0.390649,40.0061,32.9872
-7225.25,0.841374,0.0707707,5,31,0,7228.28,-8.5732,2.14807,0.341493,0.384609,41.1585,32.3147
-7226.11,0.990498,0.0707707,6,63,0,7226.54,-8.87591,2.25904,0.312686,0.379119,41.2143,31.8184
-7228.58,0.980437,0.0707707,5,63,0,7229.81,-8.81425,2.19596,0.299738,0.386359,42.5928,32.1789
-7227.6,0.961218,0.0707707,5,31,0,7229.86,-8.81085,2.20426,0.295579,0.381821,42.1872,32.0355
-7228.41,0.855789,0.0707707,6,63,0,7230.16,-9.26057,2.36424,0.307176,0.383054,42.0944,32.39
-7226.55,0.943403,0.0707707,6,63,0,7232.28,-7.58651,1.95109,0.297045,0.393941,40.1841,32.8388
-7227.32,0.874437,0.0707707,6,63,0,7230.94,-7.15581,1.89181,0.355225,0.390421,41.7162,31.9003
-7225.57,0.958467,0.0707707,5,63,0,7230.67,-8.7167,2.17756,0.33687,0.398776,41.4939,32.1247
-7227.65,0.99958,0.0707707,5,31,0,7228.37,-9.07577,2.29962,0.314585,0.42982,41.1635,32.8654
-7228.2,0.999819,0.0707707,5,31,0,7229.85,-9.49926,2.37953,0.321862,0.4342,41.7569,32.609
-7226.5,0.982134,0.0707707,5,63,0,7231.02,-9.50142,2.35519,0.309325,0.383265,39.8963,32.1847
-7226.36,0.992098,0.0707707,6,63,0,7228.06,-9.06464,2.29715,0.348858,0.402007,41.8351,32.446
-7228.33,0.958873,0.0707707,6,63,0,7230.09,-6.44852,1.7266,0.337262,0.389195,39.4689,32.1099
-7227.56,0.81481,0.0707707,6,63,0,7232.44,-6.90171,1.80852,0.353181,0.393611,39.7423,32.8242
-7227.15,0.973353,0.0707707,6,63,0,7231.14,-8.13328,2.05932,0.329848,0.397562,42.2169,31.6876
-7229.01,0.925076,0.0707707,5,63,0,7232.05,-8.60006,2.19831,0.333508,0.36858,40.9425,33.6919
-7227.27,0.937607,0.0707707,5,31,0,7231.75,-8.78801,2.22722,0.33495,0.377203,41.0997,33.4467
-7227.67,0.999902,0.0707707,6,63,0,7230.71,-7.86515,2.01185,0.359974,0.436556,40.9839,32.3387
-7228.55,0.968219,0.0707707,5,63,0,7230.04,-8.28645,2.1072,0.370848,0.442468,40.975,32.3363
-7227.75,0.860292,0.0707707,6,63,0,7231.5,-9.03133,2.26315,0.30912,0.355351,40.2498,32.4248
-7228.01,0.951562,0.0707707,5,63,0,7230.58,-8.36256,2.12142,0.309459,0.353948,40.2454,31.8948
-7228.01,0.61405,0.0707707,2,3,0,7230.86,-8.36256,2.12142,0.309459,0.353948,40.2454,31.8948
-7227.29,0.999548,0.0707707,6,63,0,7230.58,-9.02073,2.26397,0.316897,0.385211,39.2144,32.0701
-7227.51,0.992851,0.0707707,6,63,0,7231.13,-7.10936,1.84633,0.348869,0.395936,42.2668,32.4771
-7226.97,0.869142,0.0707707,6,63,0,7230.67,-9.0186,2.22972,0.320546,0.419847,40.9959,32.3666
-7226.81,0.997848,0.0707707,5,31,0,7228.18,-8.65976,2.20215,0.311743,0.424491,41.1402,32.8235
-7229.73,0.888101,0.0707707,5,31,0,7232.04,-9.32352,2.34565,0.279143,0.407727,42.5321,32.6674
-7229.54,0.966924,0.0707707,6,63,0,7235.8,-7.26823,1.88951,0.385343,0.37714,39.4924,32.1844
-7227.02,0.931047,0.0707707,5,31,0,7231.17,-7.33352,1.91143,0.351197,0.396847,39.544,32.5084
-7229.38,0.986003,0.0707707,5,31,0,7230.59,-7.4677,1.94553,0.356524,0.425294,39.1622,32.3841
-7226.55,0.96963,0.0707707,5,31,0,7231.14,-7.21786,1.85601,0.325109,0.390287,41.2528,31.6891
-7229,0.988609,0.0707707,5,31,0,7230.16,-7.38041,1.92215,0.281948,0.376478,41.6328,31.4927
-7226.03,0.999829,0.0707707,5,31,0,7231.53,-7.85399,2.02488,0.369882,0.388575,40.7919,32.4505
-7227.01,0.899535,0.0707707,6,63,0,7228.18,-9.01995,2.30132,0.298914,0.401381,40.0795,32.2139
-7225.35,0.999152,0.0707707,6,63,0,7227.94,-8.27239,2.12228,0.353854,0.384792,40.9979,32.2241
-7226.48,0.896161,0.0707707,5,63,0,7233.14,-9.01413,2.23562,0.353754,0.395313,41.2832,31.8041
-7229.64,0.893134,0.0707707,5,31,0,7231.17,-8.09703,2.10873,0.398777,0.392085,40.6348,32.0667
-7229.93,0.998234,0.0707707,6,63,0,7232.38,-7.13294,1.90088,0.26456,0.397733,41.0288,32.5342
-7227.81,0.996982,0.0707707,5,63,0,7232.72,-7.64166,1.95639,0.2692,0.391452,40.73,32.5618
-7230.54,0.986474,0.0707707,5,63,0,7235.83,-9.0404,2.26184,0.322966,0.367036,42.7478,31.3952
-7226.61,0.987038,0.0707707,5,31,0,7232.98,-9.42573,2.34076,0.336198,0.372881,39.8528,32.2577
-7226.52,0.998928,0.0707707,6,63,0,7228.62,-7.46078,1.91491,0.301485,0.409405,40.6886,32.742
-7226.65,0.973493,0.0707707,6,63,0,7229.21,-9.64036,2.41301,0.330263,0.391754,39.965,31.6837
-7228.26,0.902726,0.0707707,6,63,0,7231.95,-8.73776,2.23624,0.328978,0.412438,41.9459,33.1983
-7226.26,0.999771,0.0707707,5,31,0,7229.04,-8.75672,2.218,0.330025,0.404897,41.6361,33.0161
-7226.16,0.960082,0.0707707,6,63,0,7227.98,-8.65678,2.17954,0.330141,0.382484,40.0667,31.5961
-7227.1,0.987106,0.0707707,5,31,0,7228.4,-8.74808,2.19274,0.334292,0.417206,40.2052,31.4995
-7227.1,1,0.0707707,5,63,0,7228.13,-9.01147,2.26498,0.337991,0.413277,40.6788,31.3084
-7229.99,0.985589,0.0707707,6,63,0,7232.87,-9.61153,2.38579,0.357146,0.425076,41.3111,33.6015
-7229.14,0.999904,0.0707707,6,63,0,7233.16,-9.34207,2.32662,0.333035,0.375387,38.9212,31.7884
-7229.67,0.999806,0.0707707,6,63,0,7230.47,-7.01179,1.84427,0.326754,0.407318,42.8742,32.7515
-7229.73,0.996433,0.0707707,6,63,0,7231.48,-6.98281,1.83029,0.329671,0.40303,42.9389,32.7705
-7231.47,0.726331,0.0707707,6,63,0,7233.27,-8.87477,2.292,0.330749,0.381905,38.8348,31.7708
-7230.3,0.947497,0.0707707,5,31,0,7232.97,-8.6427,2.23577,0.326303,0.38724,38.9948,31.74
-7228.02,0.974789,0.0707707,6,63,0,7237.01,-8.34325,2.1517,0.385677,0.402864,41.0515,31.8901
-7227.27,0.929212,0.0707707,6,63,0,7229.84,-8.97664,2.25028,0.277189,0.379951,40.452,32.453
-7225.99,0.999124,0.0707707,6,63,0,7228.48,-9.59255,2.38301,0.320203,0.413798,41.1684,32.3666
-7226.04,0.868748,0.0707707,6,63,0,7228.55,-7.82839,1.98527,0.342911,0.3727,40.5922,32.2723
-7227.04,0.910656,0.0707707,6,63,0,7228.64,-9.06003,2.31764,0.356801,0.405439,40.5921,32.4086
-7225.77,0.989814,0.0707707,6,63,0,7228.17,-7.98344,2.04752,0.297457,0.380233,41.1206,32.1495
