# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_baseline_model
# start_datetime = 2025-04-28 20:40:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/86/3gll7lw97bd1x0htrdm3wgfw0000gn/T/tmppyk86fto/182mky5f.json
# init = 2 (Default)
# random
#   seed = 51468
# output
#   file = /var/folders/86/3gll7lw97bd1x0htrdm3wgfw0000gn/T/tmppyk86fto/model_baselinebxhjy7_k/model_baseline-20250428164048_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=model_baseline.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_motif,mu_0,sigma_0,mu_1,sigma_1
# Adaptation terminated
# Step size = 0.113482
# Diagonal elements of inverse mass matrix:
# 0.00025277, 1.76986e-05, 0.00139073, 0.00496888, 1.02473, 0.00050738
-354183,0.8571,0.113482,4,31,0,354187,2.03954,0.00497658,0.290128,0.364236,40.4657,31.2858
-354183,0.996364,0.113482,5,63,0,354185,2.10552,-0.00608566,0.365042,0.431854,41.1035,31.8205
-354184,0.996999,0.113482,5,31,0,354189,2.09948,-0.00501607,0.385023,0.429646,41.0282,30.6138
-354182,0.953193,0.113482,5,31,0,354186,2.09951,-0.00551311,0.350731,0.401482,40.7956,30.6083
-354181,0.973694,0.113482,5,31,0,354184,2.08907,-0.00364262,0.343861,0.403783,39.5264,31.0481
-354180,0.999341,0.113482,4,23,0,354183,2.06803,0.000526272,0.330014,0.372724,41.1033,31.8347
-354182,0.874994,0.113482,4,31,0,354182,2.0588,0.00137221,0.34091,0.362416,41.4411,31.7101
-354184,0.943067,0.113482,5,31,0,354186,2.069,0.00112479,0.389714,0.437792,41.65,30.7675
-354182,0.999988,0.113482,5,31,0,354185,2.05669,0.00298655,0.272949,0.39291,39.7456,32.1265
-354181,0.99931,0.113482,5,31,0,354185,2.06905,-8.31774e-05,0.343266,0.426396,39.8236,32.5622
-354182,0.998529,0.113482,5,31,0,354184,2.06189,0.0011726,0.337753,0.354307,39.2335,32.1965
-354181,0.990108,0.113482,5,31,0,354183,2.09414,-0.00391837,0.3341,0.392219,40.7008,31.5427
-354181,0.988627,0.113482,5,31,0,354182,2.08408,-0.00266582,0.338101,0.424506,40.7529,31.7238
-354181,0.982408,0.113482,5,31,0,354183,2.0604,0.00219936,0.324302,0.36553,39.4869,31.813
-354182,0.784193,0.113482,5,31,0,354185,2.06156,0.00268759,0.341566,0.413843,41.635,31.6204
-354184,0.738821,0.113482,4,31,0,354189,2.07344,-0.00181932,0.335586,0.42926,41.7902,30.6927
-354183,0.965848,0.113482,5,31,0,354186,2.06075,0.000815908,0.309209,0.365997,39.0566,32.6072
-354184,1,0.113482,5,31,0,354187,2.06407,0.000381667,0.345695,0.435683,41.8518,30.4621
-354186,0.690605,0.113482,5,31,0,354198,2.02454,0.0087635,0.296448,0.355335,39.2828,31.764
-354184,0.621103,0.113482,5,31,0,354193,2.02432,0.00866529,0.305083,0.371694,41.1368,31.678
-354187,0.639379,0.113482,5,31,0,354192,2.07082,0.00145935,0.336266,0.465699,39.045,31.4505
-354184,1,0.113482,2,3,0,354187,2.06746,-0.000398798,0.336884,0.465912,39.1568,31.5146
-354185,0.901,0.113482,5,31,0,354188,2.05083,0.00240619,0.301184,0.34506,42.0522,31.6827
-354182,0.991621,0.113482,5,31,0,354190,2.09131,-0.00319122,0.375588,0.411406,40.6384,31.0821
-354181,0.999952,0.113482,5,31,0,354187,2.05792,0.0021828,0.28641,0.376404,40.2804,31.6311
-354181,0.946322,0.113482,5,31,0,354182,2.06072,0.00126331,0.281685,0.391523,41.2753,31.273
-354185,0.852417,0.113482,4,31,0,354185,2.06429,-1.83161e-05,0.259943,0.405408,42.0099,30.9222
-354183,0.99666,0.113482,5,31,0,354186,2.06823,-2.83629e-07,0.267034,0.426337,42.0457,31.2805
-354183,0.999945,0.113482,5,31,0,354184,2.07295,-0.000789752,0.388817,0.361904,39.4757,32.2452
-354180,0.999247,0.113482,4,31,0,354185,2.06841,0.000698472,0.344023,0.42263,40.4431,31.6748
-354183,0.946255,0.113482,4,31,0,354184,2.04926,0.00334235,0.259996,0.397006,39.2,31.8447
-354183,0.973577,0.113482,5,31,0,354186,2.05891,0.00193924,0.273559,0.416814,38.8068,30.6757
-354181,0.899155,0.113482,5,31,0,354185,2.06112,0.00192467,0.359984,0.369255,39.8308,32.3512
-354181,0.998303,0.113482,5,31,0,354183,2.05289,0.00336022,0.291072,0.369394,39.7323,31.862
-354181,0.801816,0.113482,5,31,0,354184,2.05324,0.00303668,0.341997,0.428367,40.274,31.4291
-354183,0.980229,0.113482,5,31,0,354184,2.03364,0.00626954,0.367409,0.390514,39.9539,31.76
-354182,0.999734,0.113482,5,31,0,354183,2.03831,0.00543687,0.370415,0.392474,40.5544,31.435
-354183,0.958055,0.113482,5,31,0,354184,2.04432,0.00504318,0.315455,0.425735,39.2886,31.1762
-354182,1,0.113482,5,31,0,354184,2.09391,-0.00416755,0.34827,0.37027,41.7911,32.0522
-354184,0.986433,0.113482,5,31,0,354189,2.041,0.00540912,0.302878,0.445099,39.255,31.2809
-354183,0.99994,0.113482,5,31,0,354187,2.04158,0.00530618,0.336549,0.412158,42.4026,31.3711
-354182,0.987224,0.113482,5,31,0,354184,2.07924,-0.00130736,0.310731,0.374857,38.4647,31.9818
-354184,0.781486,0.113482,5,31,0,354188,2.05993,0.0028933,0.340007,0.397448,40.0998,29.971
-354185,0.992808,0.113482,5,31,0,354188,2.0844,-0.00304073,0.310876,0.381269,43.1636,32.6582
-354183,0.996769,0.113482,5,31,0,354187,2.08951,-0.00276378,0.364352,0.381937,38.5228,31.1277
-354182,0.970065,0.113482,5,31,0,354186,2.07619,-0.00171072,0.317722,0.394464,38.8497,32.2821
