# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_baseline_model
# start_datetime = 2025-04-28 20:40:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/86/3gll7lw97bd1x0htrdm3wgfw0000gn/T/tmppyk86fto/182mky5f.json
# init = 2 (Default)
# random
#   seed = 51468
# output
#   file = /var/folders/86/3gll7lw97bd1x0htrdm3wgfw0000gn/T/tmppyk86fto/model_baselinebxhjy7_k/model_baseline-20250428164048_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=model_baseline.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_motif,mu_0,sigma_0,mu_1,sigma_1
# Adaptation terminated
# Step size = 0.117258
# Diagonal elements of inverse mass matrix:
# 0.000257418, 1.77036e-05, 0.00137413, 0.00452731, 1.20279, 0.000564974
-354181,0.982247,0.117258,5,31,0,354183,2.06658,0.000616846,0.391047,0.423807,41.0213,31.6077
-354183,0.938062,0.117258,5,31,0,354184,2.05512,0.00301286,0.342618,0.451306,39.9424,30.9314
-354183,1,0.117258,5,31,0,354184,2.09077,-0.00387332,0.32376,0.348556,41.049,32.278
-354182,0.989136,0.117258,5,31,0,354188,2.07194,0.000107728,0.348781,0.452647,39.9765,30.9517
-354183,0.878444,0.117258,5,31,0,354185,2.08825,-0.0026303,0.308752,0.359666,41.643,32.4871
-354184,0.897372,0.117258,5,31,0,354186,2.06498,0.0013961,0.32123,0.421238,38.4938,30.4466
-354183,0.999876,0.117258,5,31,0,354186,2.05289,0.00283476,0.361666,0.412424,41.6698,33.0619
-354180,0.995702,0.117258,5,31,0,354184,2.0769,-0.00148475,0.343277,0.368888,40.0194,31.3455
-354182,0.997438,0.117258,5,31,0,354183,2.05741,0.00263612,0.340661,0.412392,39.7115,32.7175
-354182,0.961368,0.117258,5,31,0,354183,2.05049,0.00343794,0.319977,0.410301,39.4091,32.9354
-354181,0.949169,0.117258,3,15,0,354185,2.0526,0.00337409,0.326031,0.406865,39.7381,32.3762
-354182,0.989401,0.117258,5,31,0,354185,2.05145,0.00333144,0.358468,0.382361,41.0546,30.4777
-354183,0.944203,0.117258,5,31,0,354187,2.07628,-0.0013832,0.270563,0.402202,42.795,32.0615
