version,param,rhat,ess
baseline,alpha,1.0010517457796713,2432.7625207022834
baseline,beta_motif,1.0009726569592323,2449.4261291252146
baseline,mu_0,1.0004158069044526,3634.770284825411
baseline,mu_1,1.0008753171193467,3675.9461587343794
wide_prior,alpha,1.0014285560356242,2646.8587041350597
wide_prior,beta_motif,1.0013113006191505,2656.9536835151985
wide_prior,mu_0,0.9995039421535244,3432.8427334360354
wide_prior,mu_1,1.0004790564041854,3984.8965463647005
tight_prior,alpha,1.004292691820716,1651.5275664940245
tight_prior,beta_motif,1.0041772177201442,1643.2698103913053
tight_prior,mu_0,1.0008441894376008,3517.061124300529
tight_prior,mu_1,1.000379385057242,3451.190745705545
shifted_prior,alpha,1.0024906395523119,2542.7611123618167
shifted_prior,beta_motif,1.0025743922572337,2551.4925852847946
shifted_prior,mu_0,1.0030346811716904,4074.0516040013736
shifted_prior,mu_1,1.000702025275863,3896.89005464564
