# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_shifted_model
# start_datetime = 2025-04-28 19:11:02 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/86/3gll7lw97bd1x0htrdm3wgfw0000gn/T/tmp5ckvn70_/dr17bfvw.json
# init = 2 (Default)
# random
#   seed = 50383
# output
#   file = /var/folders/86/3gll7lw97bd1x0htrdm3wgfw0000gn/T/tmp5ckvn70_/model_shifted2ahh_udx/model_shifted-20250428151102_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=model_shifted.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_motif,mu_0,sigma_0,mu_1,sigma_1
# Adaptation terminated
# Step size = 0.081066
# Diagonal elements of inverse mass matrix:
# 1.13094, 0.0531294, 0.00143244, 0.00458436, 0.688154, 0.000336726
-3896.95,0.922898,0.081066,5,31,0,3899.47,-9.55017,2.39489,0.369393,0.3626,39.7515,27.6452
-3896.69,0.959234,0.081066,5,63,0,3899.88,-9.89107,2.43431,0.32456,0.418017,39.1929,30.6145
-3896.22,0.796521,0.081066,5,63,0,3903.47,-11.2517,2.74219,0.321342,0.420766,38.3529,29.4467
-3893.37,0.999384,0.081066,6,63,0,3899.12,-9.02321,2.26076,0.277511,0.405394,40.456,29.2358
-3893.09,0.951359,0.081066,6,63,0,3894.52,-8.15648,2.10104,0.365259,0.37407,38.4458,29.0246
-3894.64,0.886366,0.081066,5,63,0,3895.39,-7.82583,2.04541,0.385117,0.372463,38.7038,29.371
-3895.17,0.997401,0.081066,6,63,0,3896.89,-8.72602,2.23229,0.266517,0.420667,40.7495,28.6915
-3895.1,0.999083,0.081066,5,63,0,3897.08,-8.34566,2.10656,0.268193,0.447468,40.5194,29.0287
-3894.3,0.999439,0.081066,5,63,0,3897.44,-8.30693,2.1022,0.317439,0.441568,40.8536,28.7236
-3894.75,0.843582,0.081066,6,63,0,3897.84,-9.02677,2.29953,0.373509,0.443339,40.0125,29.2227
-3896.13,0.988478,0.081066,5,31,0,3897,-8.6536,2.21533,0.406161,0.457742,39.5444,29.2959
-3895.46,0.972535,0.081066,5,31,0,3897.51,-8.48585,2.1525,0.382647,0.467072,40.1593,29.1418
