# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_shifted_model
# start_datetime = 2025-04-28 19:11:02 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/86/3gll7lw97bd1x0htrdm3wgfw0000gn/T/tmp5ckvn70_/dr17bfvw.json
# init = 2 (Default)
# random
#   seed = 50383
# output
#   file = /var/folders/86/3gll7lw97bd1x0htrdm3wgfw0000gn/T/tmp5ckvn70_/model_shifted2ahh_udx/model_shifted-20250428151102_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=model_shifted.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_motif,mu_0,sigma_0,mu_1,sigma_1
# Adaptation terminated
# Step size = 0.0656354
# Diagonal elements of inverse mass matrix:
# 1.17343, 0.0550072, 0.00141048, 0.00331552, 1.06872, 0.000424654
-3896.56,0.730286,0.0656354,2,7,0,3897.14,-7.88033,2.07904,0.316373,0.389959,40.8368,28.2702
-3892.99,0.995269,0.0656354,6,63,0,3897.23,-6.99622,1.82946,0.349109,0.404637,38.5411,29.164
-3893.45,0.935549,0.0656354,6,63,0,3894.58,-6.76871,1.76487,0.340783,0.379326,38.7913,28.9921
-3895.87,0.790382,0.0656354,5,31,0,3898.73,-6.9662,1.83637,0.405343,0.368572,39.4908,28.4854
-3893.77,0.969732,0.0656354,6,63,0,3898.8,-6.84861,1.80793,0.378984,0.41253,39.1505,29.245
-3894.85,0.953448,0.0656354,6,63,0,3896.94,-9.94433,2.48085,0.2884,0.357878,39.9889,28.6613
-3894.88,0.972231,0.0656354,6,63,0,3897.9,-8.53421,2.16622,0.399505,0.425099,38.6619,29.9024
-3893.56,0.999986,0.0656354,6,63,0,3895.96,-7.95758,2.03538,0.386528,0.421354,38.7532,29.5272
-3893.29,0.788058,0.0656354,6,63,0,3897.43,-9.33177,2.32618,0.282654,0.373733,39.4954,28.6768
-3891.82,0.987514,0.0656354,5,31,0,3893.71,-8.61291,2.18241,0.319064,0.378076,38.9078,28.9538
-3891.91,0.992376,0.0656354,6,63,0,3892.68,-8.17396,2.08479,0.342589,0.411107,39.3149,28.7205
-3893.32,0.93793,0.0656354,5,31,0,3893.91,-8.03553,2.07755,0.372484,0.388991,38.587,28.6308
-3893.87,0.998564,0.0656354,5,31,0,3895.01,-8.04089,2.03059,0.375299,0.384901,38.3973,28.5579
-3893.37,0.953065,0.0656354,6,63,0,3895.78,-8.87547,2.2345,0.264087,0.407421,39.9954,29.181
-3892.4,0.999156,0.0656354,5,31,0,3894.16,-8.49597,2.15587,0.310479,0.413439,40.3999,28.9986
-3892.5,0.989271,0.0656354,6,63,0,3893.26,-9.25122,2.32186,0.345778,0.400015,38.4027,29.318
-3894.34,0.795713,0.0656354,6,63,0,3897.1,-9.76454,2.44353,0.30901,0.413926,39.3336,28.1172
-3893.4,0.931004,0.0656354,5,63,0,3896.51,-9.0605,2.26892,0.294225,0.409452,38.8197,28.3136
-3895.2,0.998968,0.0656354,6,63,0,3896.64,-8.17803,2.09275,0.301019,0.410711,37.2749,28.469
-3894.07,0.999978,0.0656354,6,63,0,3896.93,-8.28277,2.11542,0.279581,0.393109,40.3208,29.932
-3892.95,0.967117,0.0656354,5,63,0,3895.95,-6.93062,1.8076,0.351413,0.394611,38.7555,29.0716
-3894.3,0.804042,0.0656354,6,63,0,3896.8,-9.52418,2.42671,0.348111,0.398309,39.7621,29.0097
-3892.92,0.968677,0.0656354,5,47,0,3898.58,-8.39058,2.11392,0.367502,0.372067,39.8004,29.4477
-3893.76,0.951526,0.0656354,6,63,0,3895.28,-8.52534,2.13053,0.387255,0.375549,39.5733,29.0179
-3894.16,0.981475,0.0656354,6,63,0,3896.02,-8.62522,2.21016,0.33311,0.36527,40.4225,29.7611
-3899.39,0.812303,0.0656354,6,63,0,3901.75,-9.90002,2.52274,0.349723,0.369294,40.7704,30.1942
-3896.95,0.986868,0.0656354,6,63,0,3901.24,-8.51787,2.22252,0.364934,0.400241,39.204,28.0712
-3894.38,0.939909,0.0656354,6,63,0,3900.9,-8.7358,2.21488,0.288759,0.352313,39.4781,29.7026
-3894.63,0.892576,0.0656354,6,63,0,3897.56,-7.19067,1.8435,0.3746,0.409643,39.3748,28.3516
-3894.13,0.604785,0.0656354,6,63,0,3900.35,-7.37434,1.88944,0.345547,0.421419,39.0705,28.2603
-3892.25,0.999969,0.0656354,6,63,0,3895.48,-8.08976,2.08645,0.338441,0.390779,38.5369,29.0787
-3892.73,0.990189,0.0656354,5,63,0,3894.93,-9.55572,2.37028,0.363669,0.405733,39.105,29.1967
-3892.06,0.863769,0.0656354,6,63,0,3895.96,-7.82754,2.02902,0.329573,0.383758,39.3542,28.8109
-3893.3,0.994945,0.0656354,6,63,0,3894.75,-9.83296,2.45278,0.282831,0.388271,39.1764,29.1663
-3893.19,0.92435,0.0656354,6,63,0,3899.83,-7.82761,2.01104,0.381457,0.369443,39.6323,28.8771
-3893.24,0.971836,0.0656354,6,63,0,3896.55,-7.57328,1.96799,0.275338,0.381361,38.9656,29.1642
-3893.59,0.908464,0.0656354,3,11,0,3894.79,-7.53344,1.9438,0.271406,0.374259,38.8722,29.2331
-3894.64,0.993128,0.0656354,6,63,0,3899.55,-10.5019,2.58678,0.322305,0.437033,39.2173,29.3032
-3892.7,0.951021,0.0656354,6,63,0,3896.51,-7.76999,1.98011,0.347974,0.376774,39.7459,28.5289
-3894.05,0.97134,0.0656354,6,63,0,3894.86,-8.75426,2.2316,0.336141,0.437379,39.0534,29.8325
-3896.01,0.897378,0.0656354,6,63,0,3897.32,-7.19001,1.82802,0.316694,0.372459,39.9506,28.1313
-3894.33,0.78903,0.0656354,6,63,0,3899.43,-8.82535,2.17812,0.333167,0.372171,38.7525,29.5487
-3895.68,0.990608,0.0656354,6,63,0,3896.78,-7.35309,1.8603,0.304307,0.418459,39.3548,28.3022
-3893.93,0.930182,0.0656354,3,15,0,3897.05,-7.20028,1.86061,0.306368,0.419422,39.4453,28.2754
-3892.68,0.999001,0.0656354,6,63,0,3895.63,-8.79212,2.22205,0.370966,0.392856,38.3823,29.13
-3894.56,0.989565,0.0656354,6,63,0,3895.81,-8.90263,2.23713,0.306194,0.360662,38.9675,30.1832
-3893.41,0.932771,0.0656354,5,31,0,3895.64,-9.17559,2.28666,0.312973,0.359282,38.877,29.5544
-3896.24,0.998504,0.0656354,6,63,0,3898.55,-6.92891,1.80594,0.331528,0.475577,39.7052,29.0206
-3892.61,0.992017,0.0656354,6,63,0,3896.64,-7.6178,1.97614,0.29951,0.420472,39.4663,29.1165
-3892.79,0.943614,0.0656354,6,63,0,3894.25,-8.97403,2.27464,0.367169,0.418944,39.6002,28.9385
-3893.89,0.957959,0.0656354,5,63,0,3896.72,-9.07768,2.25377,0.378204,0.424743,40.0276,29.2923
-3893.54,0.90973,0.0656354,6,63,0,3896.79,-8.17904,2.04865,0.341671,0.427771,39.2446,28.8538
-3895.49,0.998817,0.0656354,6,63,0,3897.46,-7.88179,1.98508,0.312154,0.339783,39.4719,29.0455
-3894.64,0.994663,0.0656354,5,31,0,3897.52,-7.62913,1.99783,0.310063,0.346499,39.5353,29.1545
-3895,0.992814,0.0656354,6,63,0,3898.22,-8.90141,2.21611,0.280159,0.38808,38.2188,30.0336
-3896.77,0.83356,0.0656354,6,63,0,3900.85,-6.23027,1.70706,0.369461,0.392531,40.3045,28.3779
-3894.65,0.933469,0.0656354,5,31,0,3898.63,-6.54634,1.72149,0.356085,0.381651,40.7046,29.0769
-3892.5,0.96293,0.0656354,6,63,0,3899.12,-8.651,2.18005,0.299265,0.402395,38.3178,29.0874
-3893.07,0.982855,0.0656354,5,31,0,3893.84,-8.59166,2.15829,0.336669,0.409971,37.9338,28.9359
-3893.25,0.957213,0.0656354,5,63,0,3895.98,-8.65138,2.16321,0.322117,0.379473,38.87,29.8974
-3893.29,0.939619,0.0656354,6,63,0,3896.71,-7.91618,2.02266,0.346095,0.406833,40.6099,28.3769
-3895.39,0.995742,0.0656354,6,63,0,3897.63,-8.578,2.1631,0.327365,0.37957,37.1452,30.0367
-3894.04,0.877344,0.0656354,5,63,0,3898.98,-9.82194,2.42267,0.314864,0.375525,37.9853,28.953
-3896.94,0.980394,0.0656354,6,63,0,3899.41,-9.73472,2.41585,0.23207,0.410394,37.9015,28.8678
-3894.86,0.992676,0.0656354,5,31,0,3899.98,-9.06234,2.26644,0.244968,0.376496,39.328,29.3219
-3894.37,0.998397,0.0656354,6,63,0,3896.19,-7.9136,2.02831,0.416916,0.407435,39.5496,28.7729
-3892.75,0.997326,0.0656354,5,63,0,3898.15,-8.88497,2.24287,0.316882,0.431649,39.3663,28.6935
-3896.23,0.998548,0.0656354,6,63,0,3897.21,-10.8103,2.6573,0.404749,0.399518,39.099,29.4932
-3894.2,0.983908,0.0656354,6,63,0,3898.33,-8.8406,2.21666,0.250043,0.402786,39.6922,28.6443
-3894.67,0.901595,0.0656354,6,63,0,3896.54,-8.49574,2.1887,0.268196,0.376493,39.7108,28.5413
-3893.58,0.969944,0.0656354,5,31,0,3896.15,-8.60391,2.154,0.278413,0.380102,39.7674,28.5155
-3892.81,0.98789,0.0656354,5,31,0,3894.38,-8.57252,2.14389,0.288718,0.385849,39.1306,29.2655
-3894.79,0.880061,0.0656354,6,63,0,3898.83,-9.10396,2.31946,0.340934,0.402041,39.9721,27.9828
-3893.02,0.989697,0.0656354,6,63,0,3896.06,-7.87272,2.05214,0.349142,0.398118,38.8132,28.7198
-3892.08,0.882308,0.0656354,5,43,0,3897.39,-8.04513,2.07086,0.337153,0.374678,39.0394,28.8592
-3892.45,0.998122,0.0656354,5,63,0,3894.67,-7.55901,1.95525,0.352042,0.418457,39.4548,29.3167
-3893.46,0.989725,0.0656354,6,63,0,3894.09,-7.03035,1.84683,0.366029,0.400883,40.2716,29.3548
-3893.57,0.965584,0.0656354,5,31,0,3894.86,-7.15489,1.86116,0.387247,0.389231,39.8591,28.901
-3894.48,0.984635,0.0656354,6,63,0,3895.06,-7.18765,1.8606,0.390305,0.378494,40.4564,29.1099
-3894.9,0.7612,0.0656354,6,63,0,3898.76,-9.78661,2.43535,0.287872,0.413643,37.8592,29.7059
-3895.04,0.99357,0.0656354,6,63,0,3899.33,-5.98415,1.6184,0.341322,0.373799,40.0564,28.8163
-3893.57,0.972319,0.0656354,5,31,0,3895.84,-6.68308,1.75996,0.355774,0.377807,39.7779,29.36
-3895.59,0.988049,0.0656354,5,63,0,3898.71,-8.02266,2.04266,0.255944,0.381255,40.6077,28.242
-3895.23,0.999843,0.0656354,6,63,0,3899.39,-7.95089,2.04315,0.268383,0.417293,37.8374,28.4434
-3892.73,0.992113,0.0656354,6,63,0,3896.16,-7.52359,1.94813,0.34972,0.421062,39.5205,29.496
-3893.78,0.997535,0.0656354,6,63,0,3895.73,-9.6461,2.39755,0.361095,0.40753,40.7374,28.7147
-3892.14,0.872101,0.0656354,5,63,0,3896.72,-8.51666,2.13688,0.335278,0.401065,39.133,29.4558
-3893.74,0.961478,0.0656354,5,63,0,3895.31,-7.33308,1.93283,0.356511,0.372557,40.2124,28.8593
-3893.11,0.971289,0.0656354,6,63,0,3895.22,-7.20174,1.85236,0.318702,0.40531,38.6574,29.2775
-3892.34,0.999999,0.0656354,6,63,0,3893.84,-9.23892,2.33511,0.317113,0.385153,39.721,28.8674
-3894.1,0.968948,0.0656354,5,63,0,3896.28,-8.23774,2.12253,0.312139,0.346293,39.0583,29.0904
-3893.65,0.98774,0.0656354,6,63,0,3895.83,-7.85625,2.04091,0.334417,0.357568,39.9944,29.4744
-3893.64,0.999199,0.0656354,6,63,0,3895.21,-8.63796,2.15897,0.315242,0.43559,38.576,28.8287
-3891.84,0.999986,0.0656354,5,31,0,3893.79,-8.45141,2.15648,0.350614,0.405199,39.2395,28.9786
-3893.55,0.999476,0.0656354,5,63,0,3894.87,-9.99236,2.46856,0.364184,0.395623,39.6505,28.5137
-3895.24,0.983638,0.0656354,6,63,0,3896.73,-7.63371,1.97988,0.244828,0.421152,39.2871,29.7065
-3895.53,0.749721,0.0656354,6,63,0,3900.89,-7.50755,1.9007,0.390915,0.413218,39.8593,28.4428
