# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_tight_model
# start_datetime = 2025-04-28 19:10:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/86/3gll7lw97bd1x0htrdm3wgfw0000gn/T/tmp5ckvn70_/8m7fm5dt.json
# init = 2 (Default)
# random
#   seed = 58361
# output
#   file = /var/folders/86/3gll7lw97bd1x0htrdm3wgfw0000gn/T/tmp5ckvn70_/model_tightivvzqpkl/model_tight-20250428151036_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=model_tight.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_motif,mu_0,sigma_0,mu_1,sigma_1
# Adaptation terminated
# Step size = 0.0885133
# Diagonal elements of inverse mass matrix:
# 0.717559, 0.0331422, 0.00109285, 0.00381571, 0.622229, 0.000236794
-4314.13,0.911785,0.0885133,5,63,0,4317.12,-7.26197,1.92697,0.31459,0.368894,35.7312,25.6061
-4312.97,0.989895,0.0885133,4,31,0,4320.81,-7.18408,1.86582,0.292825,0.451884,35.2593,24.9923
-4311.49,0.792016,0.0885133,5,31,0,4315.15,-6.7412,1.79623,0.290329,0.411672,34.3264,25.0113
-4312.51,0.964647,0.0885133,6,63,0,4313.88,-7.14654,1.89312,0.3627,0.374447,35.6073,25.2179
-4312.41,0.998261,0.0885133,6,63,0,4314.44,-6.66105,1.73178,0.310014,0.412734,35.7076,24.865
-4314.04,0.991237,0.0885133,5,31,0,4316.54,-7.56266,1.92298,0.35294,0.373087,33.8009,24.5518
-4313.17,0.899843,0.0885133,6,63,0,4316.41,-5.96331,1.61726,0.324997,0.422372,35.3541,25.7131
-4313.02,0.830277,0.0885133,5,31,0,4315.84,-6.27111,1.71306,0.305784,0.410312,34.8739,25.6577
-4315.29,0.998173,0.0885133,5,31,0,4316.64,-6.52193,1.76574,0.250295,0.359924,34.4077,24.9136
-4312.71,0.984255,0.0885133,5,63,0,4317.99,-5.21017,1.46165,0.350149,0.389653,34.1276,25.1415
-4314.61,0.954007,0.0885133,5,63,0,4316.81,-5.65019,1.56851,0.353946,0.366334,33.8175,25.8947
-4315.84,0.999715,0.0885133,5,63,0,4317.83,-4.98234,1.38273,0.349875,0.388323,34.2057,25.9534
-4313.52,0.994488,0.0885133,5,31,0,4318.16,-5.19483,1.45624,0.275708,0.385591,34.5012,25.0366
-4314.46,0.850458,0.0885133,3,7,0,4315.08,-5.15945,1.47666,0.277746,0.38533,34.5091,25.0407
-4312.35,0.889279,0.0885133,5,63,0,4316.93,-7.03291,1.87643,0.353918,0.418344,34.9247,25.3795
-4311.44,0.999554,0.0885133,4,31,0,4313.12,-6.56905,1.7749,0.331069,0.39747,34.5608,24.9844
-4311.41,0.855663,0.0885133,4,31,0,4314.44,-6.59546,1.72884,0.367554,0.387617,34.9556,24.8656
