# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_tight_model
# start_datetime = 2025-04-28 19:10:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/86/3gll7lw97bd1x0htrdm3wgfw0000gn/T/tmp5ckvn70_/8m7fm5dt.json
# init = 2 (Default)
# random
#   seed = 58361
# output
#   file = /var/folders/86/3gll7lw97bd1x0htrdm3wgfw0000gn/T/tmp5ckvn70_/model_tightivvzqpkl/model_tight-20250428151036_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=model_tight.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_motif,mu_0,sigma_0,mu_1,sigma_1
# Adaptation terminated
# Step size = 0.107077
# Diagonal elements of inverse mass matrix:
# 0.587008, 0.0275095, 0.00156052, 0.0040681, 0.635493, 0.000270078
-4313.76,0.996925,0.107077,5,31,0,4318.03,-7.27823,1.85394,0.307799,0.449417,34.3356,25.1242
-4311.59,0.983493,0.107077,5,31,0,4314.5,-6.95052,1.80083,0.300077,0.372083,35.2343,25.0483
-4311.08,0.949429,0.107077,4,31,0,4313.91,-6.29657,1.69622,0.334678,0.398714,34.1737,25.4424
-4312.9,0.998955,0.107077,5,31,0,4313.82,-7.02363,1.83862,0.355919,0.384617,33.6453,25.9244
-4315.27,0.905725,0.107077,5,31,0,4317.97,-6.57484,1.71733,0.393707,0.405096,32.8817,25.0234
-4312.11,0.991629,0.107077,5,31,0,4320.19,-6.19546,1.64772,0.316381,0.407462,33.4923,25.338
-4312.39,0.990978,0.107077,5,31,0,4313.84,-5.75827,1.56525,0.322882,0.403392,35.7505,24.7873
-4313.41,0.773478,0.107077,5,31,0,4315.83,-6.00783,1.61329,0.330659,0.376697,36.2847,25.276
-4312.4,0.986024,0.107077,5,31,0,4314.69,-5.61568,1.55276,0.315417,0.397885,35.6307,24.9189
-4311.82,0.998573,0.107077,5,63,0,4314.9,-7.09739,1.85474,0.341466,0.395807,36.0515,25.0548
-4311.32,0.992759,0.107077,5,31,0,4317.24,-7.34245,1.90302,0.324027,0.416813,33.8489,25.3295
-4310.8,0.830684,0.107077,5,31,0,4312.66,-6.80871,1.80244,0.341434,0.374857,35.1369,25.0822
