# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_wide_model
# start_datetime = 2025-04-28 19:10:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/86/3gll7lw97bd1x0htrdm3wgfw0000gn/T/tmp5ckvn70_/qan92rfe.json
# init = 2 (Default)
# random
#   seed = 15722
# output
#   file = /var/folders/86/3gll7lw97bd1x0htrdm3wgfw0000gn/T/tmp5ckvn70_/model_widetme9bho0/model_wide-20250428151011_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=model_wide.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_motif,mu_0,sigma_0,mu_1,sigma_1
# Adaptation terminated
# Step size = 0.0626108
# Diagonal elements of inverse mass matrix:
# 1.28843, 0.0617167, 0.00130014, 0.00499051, 1.29839, 0.000544373
-3774.97,0.950419,0.0626108,6,63,0,3778.79,-9.82678,2.43718,0.263284,0.388402,39.7569,30.7166
-3773.31,0.973502,0.0626108,6,63,0,3776.38,-7.29545,1.90727,0.357979,0.395711,40.3205,32.0301
-3772.76,0.999454,0.0626108,6,63,0,3774.49,-9.35507,2.35305,0.325504,0.393301,39.2424,31.4353
-3775.41,0.97606,0.0626108,6,63,0,3776.21,-9.45458,2.34209,0.394444,0.358028,41.0721,31.4052
-3774.98,0.975981,0.0626108,6,63,0,3776.9,-7.78803,1.97617,0.293293,0.439005,39.5313,32.1184
-3774.82,0.990562,0.0626108,6,63,0,3777.85,-8.4918,2.16958,0.384929,0.359211,41.1454,31.1283
-3775.47,0.989687,0.0626108,6,63,0,3779.27,-7.83295,1.99075,0.26801,0.439518,39.7029,32.2256
-3773.28,0.993268,0.0626108,5,63,0,3777.47,-9.78252,2.44084,0.305312,0.38382,40.3209,32.4492
-3773.78,0.975962,0.0626108,5,31,0,3774.11,-9.85422,2.4299,0.315646,0.383327,39.9976,32.6373
-3773.84,0.999654,0.0626108,6,63,0,3775.89,-7.7287,1.97195,0.290742,0.414429,40.9358,30.9479
-3774.78,0.990215,0.0626108,6,63,0,3776.77,-7.84606,2.02484,0.306046,0.429864,38.9935,32.4764
-3774.94,0.872662,0.0626108,5,31,0,3776.53,-7.65307,1.99883,0.304065,0.430224,39.1484,32.1618
