# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_wide_model
# start_datetime = 2025-04-28 19:10:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/86/3gll7lw97bd1x0htrdm3wgfw0000gn/T/tmp5ckvn70_/qan92rfe.json
# init = 2 (Default)
# random
#   seed = 15722
# output
#   file = /var/folders/86/3gll7lw97bd1x0htrdm3wgfw0000gn/T/tmp5ckvn70_/model_widetme9bho0/model_wide-20250428151011_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=model_wide.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_motif,mu_0,sigma_0,mu_1,sigma_1
# Adaptation terminated
# Step size = 0.0786712
# Diagonal elements of inverse mass matrix:
# 1.22645, 0.0577378, 0.00123464, 0.00413076, 1.01346, 0.000541416
-3772.04,0.982338,0.0786712,5,63,0,3774.21,-8.79134,2.22242,0.335805,0.397674,40.2017,32.0365
-3773.53,0.942697,0.0786712,5,63,0,3774.54,-9.62144,2.40504,0.31028,0.428052,40.1343,32.2801
-3773.38,0.995802,0.0786712,6,63,0,3774.41,-7.90527,2.0345,0.340111,0.360104,40.3664,31.0663
-3774.53,0.973256,0.0786712,6,63,0,3775.58,-8.65066,2.16853,0.292943,0.444762,40.9655,32.1946
-3775.46,0.989969,0.0786712,5,31,0,3778.62,-8.3207,2.12744,0.286834,0.454568,40.9131,32.4683
-3774.4,0.998054,0.0786712,6,63,0,3779.11,-7.52477,1.93001,0.339016,0.360147,39.8809,30.7696
-3775.14,0.788681,0.0786712,5,31,0,3776.93,-7.36257,1.87076,0.338434,0.381621,39.2244,31.0807
-3774.81,0.874456,0.0786712,6,63,0,3778.52,-10.9565,2.69668,0.317953,0.405483,41.5239,32.1361
-3775.96,0.965353,0.0786712,5,31,0,3776.99,-11.797,2.89415,0.33579,0.395794,40.4479,32.0725
-3776.54,0.988401,0.0786712,6,63,0,3779.87,-10.9019,2.6829,0.376031,0.348909,39.8164,31.6781
-3773.99,0.97365,0.0786712,5,31,0,3777.98,-9.97248,2.478,0.341536,0.434378,41.3187,31.8596
-3773.41,0.955487,0.0786712,6,63,0,3777.7,-7.4883,1.94529,0.312383,0.36326,40.519,31.5379
-3773.11,0.87639,0.0786712,6,63,0,3775.81,-9.55216,2.36306,0.298097,0.381233,40.9475,31.2935
-3774.56,0.954517,0.0786712,5,63,0,3776.36,-8.50229,2.16993,0.352527,0.359197,41.9943,31.1532
-3773.15,0.933525,0.0786712,5,31,0,3776.73,-8.82586,2.24416,0.320735,0.378506,41.7228,31.8008
-3773.05,0.933257,0.0786712,6,63,0,3774.84,-8.56801,2.1737,0.307509,0.413471,39.07,31.6718
-3777.44,0.981232,0.0786712,5,31,0,3778.27,-8.01397,2.04111,0.24868,0.436595,42.6121,31.3977
-3777.77,0.908161,0.0786712,5,63,0,3781.03,-9.32249,2.33781,0.407315,0.353652,38.6538,31.0121
-3775.51,0.93077,0.0786712,6,63,0,3780.98,-7.80674,2.02148,0.333877,0.450454,41.7438,32.2481
-3775.46,0.968883,0.0786712,5,63,0,3777.71,-7.69916,1.98405,0.318661,0.454748,41.726,31.1524
-3772.83,0.983686,0.0786712,5,31,0,3776.32,-7.94847,2.02588,0.31628,0.393779,41.4258,31.2319
-3773.08,0.981405,0.0786712,4,31,0,3780.32,-8.39673,2.14177,0.378658,0.416879,40.2618,31.701
-3773.66,0.988583,0.0786712,5,63,0,3776.73,-8.49969,2.15283,0.37355,0.420898,41.109,32.3348
-3774.39,0.763559,0.0786712,6,63,0,3776.98,-9.87321,2.48029,0.288429,0.369711,39.847,31.2442
-3776.68,0.997646,0.0786712,5,31,0,3778.26,-10.3633,2.55087,0.284407,0.360256,38.4544,31.1366
-3774.29,0.754513,0.0786712,5,63,0,3780.54,-10.3827,2.58379,0.353552,0.417102,40.4624,32.3124
-3773.91,0.894423,0.0786712,6,63,0,3777.09,-10.0777,2.51842,0.355548,0.394367,39.1155,31.6158
-3774.54,0.995316,0.0786712,4,31,0,3776.18,-10.3586,2.56729,0.360137,0.402475,38.7435,31.6549
-3774.95,0.926953,0.0786712,6,63,0,3776.53,-7.0552,1.86665,0.292789,0.386802,41.8022,31.5732
-3775.18,0.999597,0.0786712,6,63,0,3780.33,-10.7553,2.62363,0.322021,0.408699,38.8374,31.3106
-3775.42,0.987005,0.0786712,4,15,0,3776,-10.8965,2.66839,0.323159,0.409305,38.659,31.2396
-3775.43,0.894401,0.0786712,6,63,0,3777.51,-6.85654,1.81143,0.313112,0.406626,42.3441,31.5908
-3775.68,0.951038,0.0786712,6,63,0,3780.44,-10.2606,2.56015,0.252988,0.37917,40.2476,31.7475
-3775.33,0.959359,0.0786712,5,31,0,3776.73,-10.0107,2.51449,0.258744,0.396307,39.8029,31.7991
-3775.9,0.96928,0.0786712,6,63,0,3779.74,-8.30521,2.14897,0.369949,0.378174,42.5422,31.6787
-3777,0.991907,0.0786712,5,63,0,3779.49,-9.91074,2.43574,0.393684,0.377286,42.627,31.3522
-3776.5,0.996166,0.0786712,5,31,0,3780.24,-9.98347,2.46586,0.37736,0.379741,41.5839,30.116
-3777.21,0.701093,0.0786712,6,63,0,3783.86,-7.64338,1.96391,0.277651,0.396792,38.0159,32.9375
-3772.65,0.838445,0.0786712,5,31,0,3779.49,-7.93392,2.0147,0.356214,0.396166,40.4027,31.798
-3774.87,0.983921,0.0786712,5,31,0,3775.44,-8.10911,2.09111,0.31783,0.451004,39.4926,32.077
