# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_wide_model
# start_datetime = 2025-04-28 21:17:18 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/86/3gll7lw97bd1x0htrdm3wgfw0000gn/T/tmppyk86fto/w9hr8lz7.json
# init = 2 (Default)
# random
#   seed = 36343
# output
#   file = /var/folders/86/3gll7lw97bd1x0htrdm3wgfw0000gn/T/tmppyk86fto/model_widem9axxrg1/model_wide-20250428171718_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=model_wide.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_motif,mu_0,sigma_0,mu_1,sigma_1
# Adaptation terminated
# Step size = 0.117839
# Diagonal elements of inverse mass matrix:
# 0.000259589, 1.80545e-05, 0.00130774, 0.00497353, 1.06137, 0.000521641
-354185,0.708826,0.117839,5,31,0,354189,2.06088,0.00107942,0.381369,0.402069,39.2343,32.1459
-354186,0.955316,0.117839,5,31,0,354189,2.04478,0.00538289,0.349855,0.384006,39.3032,32.2579
-354184,0.996594,0.117839,4,15,0,354187,2.05717,0.00226895,0.346543,0.38847,39.4841,32.5641
-354185,0.845355,0.117839,4,31,0,354188,2.05738,0.00142488,0.329643,0.408207,40.5858,31.4934
-354187,0.911167,0.117839,5,31,0,354188,2.06857,-0.000889727,0.3824,0.399102,41.085,30.7628
-354185,0.996361,0.117839,4,31,0,354189,2.06178,0.00176046,0.272707,0.391782,41.2847,32.2588
-354184,0.999766,0.117839,5,31,0,354187,2.05081,0.00342334,0.334639,0.417589,39.6211,31.1561
-354184,0.942261,0.117839,4,31,0,354189,2.05994,0.00139699,0.353362,0.416163,40.2226,31.8532
-354185,0.969161,0.117839,5,31,0,354187,2.07581,-0.000488286,0.373674,0.383579,40.6851,32.4733
-354185,0.95441,0.117839,5,31,0,354187,2.09101,-0.0043561,0.333924,0.374467,40.9076,30.877
-354185,0.993521,0.117839,5,31,0,354189,2.07794,-0.000930411,0.34445,0.444424,40.2315,31.6718
-354187,0.949956,0.117839,4,31,0,354190,2.07805,-0.00182234,0.251672,0.374964,41.3305,31.9968
-354185,0.99146,0.117839,5,31,0,354189,2.05443,0.00263507,0.391454,0.42275,39.7335,31.4133
-354186,0.99815,0.117839,5,31,0,354186,2.08306,-0.0019857,0.260406,0.372408,41.0734,31.7711
-354184,0.997307,0.117839,5,31,0,354188,2.06704,0.000909769,0.352772,0.364537,41.4886,31.6384
-354185,0.992561,0.117839,5,31,0,354187,2.06852,0.000599415,0.338637,0.410695,40.5798,32.888
-354186,0.961062,0.117839,5,31,0,354187,2.0871,-0.00347749,0.3189,0.37678,40.2648,30.3774
-354186,0.978749,0.117839,5,31,0,354187,2.05713,0.00170014,0.333851,0.425877,40.439,32.8789
-354185,0.995945,0.117839,5,31,0,354191,2.08066,-0.00193439,0.30465,0.371622,39.4948,30.4558
-354185,0.979419,0.117839,5,31,0,354188,2.08165,-0.00220938,0.352585,0.358541,40.4015,32.4353
-354188,0.694854,0.117839,5,31,0,354190,2.07473,-0.00184699,0.355667,0.451513,41.4797,31.1263
-354186,0.859557,0.117839,5,31,0,354190,2.07855,-0.00197188,0.325031,0.45811,40.6849,31.5965
-354184,0.553044,0.117839,5,31,0,354194,2.06969,-0.00052295,0.311036,0.368473,40.1331,31.5911
-354186,0.933797,0.117839,4,31,0,354187,2.07256,0.000442563,0.29231,0.361352,39.5026,31.5781
-354184,0.990813,0.117839,5,31,0,354187,2.08068,-0.00218834,0.339703,0.416175,40.9066,32.2396
-354184,0.966269,0.117839,5,31,0,354186,2.06235,0.00103834,0.317912,0.370204,39.4066,31.1495
-354187,0.961136,0.117839,4,31,0,354190,2.06751,0.000900049,0.385932,0.455613,39.6149,30.7268
-354185,0.999574,0.117839,5,31,0,354188,2.07734,-0.00143156,0.374794,0.425866,40.2738,30.6802
-354186,0.993604,0.117839,5,31,0,354188,2.05065,0.00356528,0.367485,0.401447,42.2217,31.9676
-354185,0.990701,0.117839,5,31,0,354188,2.05016,0.00375938,0.35672,0.398621,42.1328,31.6999
-354186,0.992788,0.117839,5,31,0,354189,2.09896,-0.00531019,0.306637,0.396654,38.749,31.4952
-354188,0.987682,0.117839,4,15,0,354189,2.10323,-0.00585221,0.305025,0.372811,37.9219,31.5715
-354184,0.956591,0.117839,5,31,0,354191,2.05437,0.00247502,0.323744,0.389426,39.6051,31.1232
-354185,0.979121,0.117839,5,31,0,354186,2.05057,0.00357978,0.326295,0.382508,38.6375,32.2345
-354184,0.905933,0.117839,4,31,0,354189,2.05964,0.00230125,0.325039,0.397431,41.5424,31.6929
-354184,0.948291,0.117839,5,31,0,354186,2.06988,-0.000288434,0.342866,0.35934,40.2382,31.1317
-354185,0.849723,0.117839,5,31,0,354186,2.0729,0.000209678,0.322133,0.434035,40.6503,31.9826
-354184,0.993634,0.117839,5,31,0,354187,2.06013,0.00150064,0.286251,0.384808,40.8081,31.2902
-354185,0.936575,0.117839,5,31,0,354186,2.07428,-0.00105305,0.358726,0.433992,41.4045,31.3098
-354185,0.925428,0.117839,5,31,0,354188,2.06463,0.00113549,0.36939,0.394964,39.1691,32.402
-354185,0.978911,0.117839,5,31,0,354186,2.06794,0.000449297,0.293298,0.392446,41.8397,30.9619
-354184,0.765322,0.117839,5,31,0,354189,2.06323,0.00184261,0.367254,0.383738,39.9744,31.9148
