# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_wide_model
# start_datetime = 2025-04-28 21:17:18 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/86/3gll7lw97bd1x0htrdm3wgfw0000gn/T/tmppyk86fto/w9hr8lz7.json
# init = 2 (Default)
# random
#   seed = 36343
# output
#   file = /var/folders/86/3gll7lw97bd1x0htrdm3wgfw0000gn/T/tmppyk86fto/model_widem9axxrg1/model_wide-20250428171718_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=model_wide.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_motif,mu_0,sigma_0,mu_1,sigma_1
# Adaptation terminated
# Step size = 0.110026
# Diagonal elements of inverse mass matrix:
# 0.000303738, 1.94116e-05, 0.00162097, 0.0049619, 1.1443, 0.000428294
-354186,1,0.110026,5,31,0,354189,2.05149,0.00254535,0.370401,0.404182,39.7977,32.467
-354189,0.79857,0.110026,5,31,0,354191,2.07602,-0.00236001,0.373975,0.40958,41.5049,32.9812
-354185,0.921697,0.110026,4,19,0,354190,2.06225,0.000590725,0.328797,0.381958,40.4058,32.2764
-354185,0.981411,0.110026,5,31,0,354186,2.0828,-0.00119799,0.349614,0.38009,40.9669,31.9617
-354184,0.992461,0.110026,4,31,0,354193,2.0818,-0.00129271,0.347594,0.382514,40.5496,31.8564
-354184,0.988969,0.110026,5,31,0,354185,2.07558,-0.000118742,0.353854,0.395596,40.1648,31.9331
-354185,0.999822,0.110026,4,31,0,354187,2.06148,0.00146787,0.356063,0.371335,41.6113,31.0654
-354185,0.895896,0.110026,5,31,0,354187,2.08497,-0.00239809,0.345195,0.417159,39.2456,32.3464
-354186,0.986077,0.110026,5,31,0,354189,2.08826,-0.00289397,0.300502,0.411196,38.3628,30.9474
-354186,0.995123,0.110026,5,31,0,354188,2.06613,0.000461823,0.380592,0.383547,41.5042,32.6939
-354184,0.930923,0.110026,4,15,0,354187,2.07158,0.000451149,0.368912,0.389821,41.1528,31.974
-354185,0.999487,0.110026,4,31,0,354187,2.08447,-0.00200532,0.318883,0.400269,39.9139,30.5747
-354188,0.935837,0.110026,5,31,0,354189,2.10169,-0.0054392,0.287856,0.439491,39.1611,30.7729
